date,year,album,song,artist,danceability,energy,speechiness,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
10/27/14,2014,1989,Shake It Off,Taylor Swift,0.647,0.8,0.165,-5.384,0.0647,0,0.334,0.942,160.078,219200
10/24/06,2006,Taylor Swift,Should've Said No,Taylor Swift,0.476,0.777,0.0289,-3.771,0.0103,0,0.196,0.472,167.964,242200
10/21/22,2022,Midnights,Snow On The Beach,Taylor Swift,0.659,0.323,0.0436,-13.425,0.735,0.00321,0.116,0.154,110.007,256124
11/10/17,2017,reputation,So It Goes...,Taylor Swift,0.574,0.61,0.0732,-7.283,0.122,1.10E-06,0.13,0.374,74.957,227907
8/23/19,2019,Lover,Soon You'll Get Better,Taylor Swift,0.433,0.182,0.0641,-12.566,0.907,0,0.123,0.421,207.476,201587
10/25/10,2010,Speak Now,Sparks Fly,Taylor Swift,0.605,0.787,0.0308,-3.002,0.0396,1.42E-06,0.163,0.374,114.987,260933
10/25/10,2010,Speak Now,Speak Now,Taylor Swift,0.709,0.599,0.0304,-3.734,0.095,0,0.0973,0.735,118.975,240760
11/12/21,2021,Red (Taylor's Version),Starlight (Taylor's Version),Taylor Swift,0.628,0.685,0.0358,-5.864,0.00324,0,0.18,0.605,126.014,220413
11/12/21,2021,Red (Taylor's Version),State Of Grace (Acoustic Version) [Taylor's Version],Taylor Swift,0.445,0.131,0.0564,-13.778,0.663,1.57E-06,0.108,0.101,208.918,321640
11/12/21,2021,Red (Taylor's Version),State Of Grace (Taylor's Version),Taylor Swift,0.594,0.713,0.0503,-5.314,3.28E-04,0,0.114,0.328,129.958,295413
10/24/06,2006,Taylor Swift,Stay Beautiful,Taylor Swift,0.594,0.629,0.0246,-4.919,0.0868,0,0.137,0.504,131.597,236053
11/12/21,2021,Red (Taylor's Version),Stay Stay Stay (Taylor's Version),Taylor Swift,0.693,0.681,0.025,-7.039,0.0848,0,0.0768,0.663,100.02,205787
10/27/14,2014,1989,Style,Taylor Swift,0.588,0.791,0.0402,-5.595,0.00245,0.00258,0.118,0.487,94.933,231000
10/25/10,2010,Speak Now,Superman,Taylor Swift,0.582,0.765,0.0324,-3.648,0.0268,1.95E-06,0.103,0.559,131.982,275960
4/9/21,2021,Fearless (Taylor's Version),SuperStar (Taylor's Version),Taylor Swift,0.454,0.555,0.0283,-6.69,0.157,0,0.343,0.171,171.862,263865
10/21/22,2022,Midnights,Sweet Nothing,Taylor Swift,0.334,0.161,0.0506,-14.875,0.967,4.71E-05,0.115,0.396,176.747,188497
10/24/06,2006,Taylor Swift,Teardrops On My Guitar,Taylor Swift,0.621,0.417,0.0231,-6.941,0.288,0,0.119,0.289,99.953,203040
10/24/06,2006,Taylor Swift,Teardrops On My Guitar (Pop Version),Taylor Swift,0.459,0.753,0.0537,-3.827,0.0402,0,0.0863,0.483,199.997,179067
4/9/21,2021,Fearless (Taylor's Version),Tell Me Why (Taylor's Version),Taylor Swift,0.578,0.909,0.0628,-3.669,0.0222,0,0.333,0.541,100.023,200576
4/9/21,2021,Fearless (Taylor's Version),That's When (Taylor's Version) [From The Vault],Taylor Swift,0.588,0.608,0.0365,-7.062,0.225,0,0.092,0.508,90.201,189496
7/24/20,2020,folklore,the 1,Taylor Swift,0.78,0.361,0.048,-6.942,0.75,7.14E-06,0.108,0.163,139.902,210240
8/23/19,2019,Lover,The Archer,Taylor Swift,0.292,0.574,0.0401,-9.375,0.12,0.00569,0.0663,0.166,124.344,211240
4/9/21,2021,Fearless (Taylor's Version),The Best Day (Taylor's Version),Taylor Swift,0.642,0.576,0.0282,-8.524,0.488,0,0.159,0.469,125,245290
10/21/22,2022,Midnights,The Great War,Taylor Swift,0.573,0.741,0.0353,-8.987,0.219,2.23E-05,0.0842,0.554,96.016,240356
7/24/20,2020,folklore,the lakes,Taylor Swift,0.313,0.258,0.0383,-11.532,0.842,1.30E-06,0.0948,0.268,179.947,211813
7/24/20,2020,folklore,the last great american dynasty,Taylor Swift,0.688,0.653,0.0403,-8.558,0.481,0.00414,0.106,0.701,147.991,231000
11/12/21,2021,Red (Taylor's Version),The Last Time (Taylor's Version),Taylor Swift,0.502,0.534,0.0278,-5.954,0.0399,0,0.0977,0.155,94.05,299080
11/12/21,2021,Red (Taylor's Version),The Lucky One (Taylor's Version),Taylor Swift,0.686,0.571,0.05,-7.138,0.066,0,0.0608,0.538,117.889,240467
8/23/19,2019,Lover,The Man,Taylor Swift,0.777,0.658,0.054,-5.191,0.0767,0,0.0901,0.633,110.048,190360
11/12/21,2021,Red (Taylor's Version),The Moment I Knew (Taylor's Version),Taylor Swift,0.636,0.402,0.031,-7.855,0.0494,0,0.107,0.208,125.952,285280
4/9/21,2021,Fearless (Taylor's Version),The Other Side Of The Door (Taylor's Version),Taylor Swift,0.432,0.873,0.0577,-4.367,0.0279,0,0.167,0.629,163.936,238444
10/24/06,2006,Taylor Swift,The Outside,Taylor Swift,0.589,0.805,0.0293,-4.055,0.00491,0,0.24,0.591,112.982,207107
10/25/10,2010,Speak Now,The Story Of Us,Taylor Swift,0.543,0.818,0.0398,-3.611,0.00478,3.68E-04,0.0357,0.683,139.898,265667
11/12/21,2021,Red (Taylor's Version),The Very First Night (Taylor's Version) [From The Vault],Taylor Swift,0.678,0.733,0.0281,-5.025,0.00115,0,0.104,0.581,121.009,200280
4/9/21,2021,Fearless (Taylor's Version),The Way I Loved You (Taylor's Version),Taylor Swift,0.402,0.732,0.0484,-4.665,0.0033,0,0.108,0.472,161.032,243137
7/24/20,2020,folklore,this is me trying,Taylor Swift,0.511,0.478,0.0322,-9.837,0.312,2.30E-05,0.147,0.408,135.882,195107
11/10/17,2017,reputation,This Is Why We Can't Have Nice Things,Taylor Swift,0.567,0.789,0.115,-5.986,0.0156,0,0.382,0.438,163.96,207133
10/27/14,2014,1989,This Love,Taylor Swift,0.481,0.435,0.0321,-8.795,0.678,0,0.0928,0.107,143.95,250093
10/24/06,2006,Taylor Swift,Tied Together With A Smile,Taylor Swift,0.479,0.578,0.0294,-4.963,0.525,0,0.0841,0.192,146.165,248107
10/24/06,2006,Taylor Swift,Tim McGraw,Taylor Swift,0.58,0.491,0.0251,-6.462,0.575,0,0.121,0.425,76.009,232107
4/9/21,2021,Fearless (Taylor's Version),Today Was A Fairytale (Taylor's Version),Taylor Swift,0.482,0.779,0.0409,-5.025,0.0135,0,0.296,0.328,158.162,241822
12/11/20,2020,evermore,tolerate it,Taylor Swift,0.316,0.361,0.0488,-10.381,0.878,2.67E-05,0.0797,0.221,74.952,245440
11/12/21,2021,Red (Taylor's Version),Treacherous (Taylor's Version),Taylor Swift,0.645,0.593,0.0288,-6.506,0.0344,1.27E-04,0.13,0.299,109.984,242720
4/9/21,2021,Fearless (Taylor's Version),Untouchable (Taylor's Version),Taylor Swift,0.393,0.531,0.0329,-6.112,0.0181,0,0.169,0.224,200.391,312107
10/21/22,2022,Midnights,Vigilante Shit,Taylor Swift,0.87,0.279,0.364,-11.134,0.16,1.74E-05,0.121,0.16,79.996,164801
11/12/21,2021,Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,0.567,0.686,0.175,-6.139,0.0317,1.86E-06,0.0732,0.716,172.014,193147
4/9/21,2021,Fearless (Taylor's Version),We Were Happy (Taylor's Version) [From The Vault],Taylor Swift,0.609,0.373,0.0263,-8.819,0.849,0,0.0779,0.13,106.007,244237
10/27/14,2014,1989,Welcome To New York,Taylor Swift,0.789,0.634,0.0323,-4.762,0.0348,1.64E-06,0.302,0.658,116.992,212600
4/9/21,2021,Fearless (Taylor's Version),White Horse (Taylor's Version),Taylor Swift,0.423,0.517,0.0486,-7.377,0.369,0,0.177,0.366,185.262,234516
10/27/14,2014,1989,Wildest Dreams,Taylor Swift,0.55,0.688,0.0897,-7.416,0.0692,0.00144,0.106,0.465,139.997,220440
12/11/20,2020,evermore,willow,Taylor Swift,0.392,0.574,0.17,-9.195,0.833,0.00179,0.145,0.529,81.112,214707
10/27/14,2014,1989,Wonderland,Taylor Swift,0.422,0.692,0.0549,-5.447,0.0493,2.57E-05,0.177,0.197,184.014,245560
10/21/22,2022,Midnights,"Would've, Could've, Should've",Taylor Swift,0.483,0.84,0.119,-6.508,0.43,5.75E-04,0.146,0.55,157.979,260362
4/9/21,2021,Fearless (Taylor's Version),You All Over Me (Taylor's Version) [From The Vault],Taylor Swift,0.599,0.494,0.0372,-7.61,0.816,0,0.101,0.44,142.893,220839
10/27/14,2014,1989,You Are In Love,Taylor Swift,0.474,0.48,0.0622,-8.894,0.707,1.08E-04,0.0903,0.319,170.109,267107
4/9/21,2021,Fearless (Taylor's Version),You Belong With Me (Taylor's Version),Taylor Swift,0.632,0.773,0.0346,-4.856,0.0623,0,0.0885,0.474,130.033,231124
8/23/19,2019,Lover,You Need To Calm Down,Taylor Swift,0.771,0.671,0.0553,-5.617,0.00929,0,0.0637,0.714,85.026,171360
4/9/21,2021,Fearless (Taylor's Version),You're Not Sorry (Taylor's Version),Taylor Swift,0.506,0.444,0.0285,-4.99,0.0538,0,0.123,0.241,133.873,261843
10/21/22,2022,Midnights,"You're On Your Own, Kid",Taylor Swift,0.694,0.38,0.0614,-10.307,0.416,8.47E-06,0.126,0.376,120.044,194207
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Magical,Ed Sheeran,0.658,0.632,0.0298,-8.492,0.748,7.33E-05,0.169,0.464,135.924,194277
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),England,Ed Sheeran,0.622,0.666,0.0423,-10.786,0.641,8.63E-05,0.513,0.52,126.934,226756
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Amazing,Ed Sheeran,0.809,0.664,0.0373,-7.265,0.429,1.55E-06,0.131,0.374,116.996,245813
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Plastic Bag,Ed Sheeran,0.713,0.727,0.0528,-6.551,0.621,0,0.0751,0.384,120.016,229850
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Blue,Ed Sheeran,0.668,0.314,0.0298,-8.275,0.888,0,0.222,0.414,78.019,153899
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),American Town,Ed Sheeran,0.74,0.652,0.0601,-5.668,0.736,0,0.348,0.715,105.025,197976
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Thatâ€™s On Me,Ed Sheeran,0.822,0.696,0.114,-6.275,0.634,0,0.0624,0.575,106.995,227398
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Page,Ed Sheeran,0.774,0.604,0.0404,-6.385,0.623,3.48E-06,0.0889,0.62,146.081,231021
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Midnight,Ed Sheeran,0.555,0.824,0.0591,-5.843,0.425,7.78E-05,0.082,0.685,178.034,179538
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Spring,Ed Sheeran,0.644,0.317,0.0317,-11.565,0.923,0.00159,0.104,0.667,96.081,178615
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Punchline,Ed Sheeran,0.534,0.407,0.0261,-7.994,0.844,0,0.113,0.616,154.059,206008
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),When Will I Be Alright,Ed Sheeran,0.614,0.244,0.0301,-9.345,0.935,5.64E-05,0.112,0.488,126.381,175878
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),The Day I Was Born,Ed Sheeran,0.6,0.667,0.0443,-5.504,0.657,0,0.327,0.725,135.083,252318
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Head > Heels,Ed Sheeran,0.711,0.328,0.0592,-9.172,0.759,0.000538,0.116,0.347,77.539,253881
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Magical - Live from Brantlieâ€™s Living Room,Ed Sheeran,0.54,0.257,0.0312,-8.223,0.807,0,0.11,0.484,80.298,174343
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),England - Live from Maynardâ€™s Living Room,Ed Sheeran,0.685,0.325,0.0429,-6.706,0.871,0,0.105,0.382,131.851,201568
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Amazing - Live from Kiaâ€™s Living Room,Ed Sheeran,0.911,0.353,0.056,-5.083,0.699,0,0.146,0.925,127.15,174165
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Plastic Bag - Live from Alexâ€™s Living Room,Ed Sheeran,0.722,0.274,0.0414,-6.234,0.872,0,0.112,0.534,126.456,218887
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Blue - Live from Saromâ€™s Living Room,Ed Sheeran,0.441,0.319,0.0351,-7.085,0.893,0,0.241,0.389,168.399,141203
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),American Town - Live from Kariâ€™s Living Room,Ed Sheeran,0.606,0.475,0.045,-4.255,0.813,0,0.102,0.631,106.149,195749
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Thatâ€™s On Me - Live from Narineâ€™s Living Room,Ed Sheeran,0.685,0.665,0.0877,-5.445,0.748,0,0.0533,0.776,113.777,191808
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Page - Live from Deborahâ€™s Living Room,Ed Sheeran,0.479,0.416,0.0371,-4.782,0.883,0,0.0843,0.353,78.837,211849
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Midnight - Live from Johnâ€™s Living Room,Ed Sheeran,0.606,0.317,0.044,-7.322,0.881,0,0.117,0.479,99.691,151876
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Spring - Live from Emilyâ€™s Living Room,Ed Sheeran,0.555,0.235,0.036,-10.655,0.908,0,0.103,0.366,102.194,153533
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Punchline - Live from Hollyâ€™s Living Room,Ed Sheeran,0.639,0.407,0.0306,-5.581,0.836,0,0.0876,0.414,84.575,186662
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),When Will I Be Alright - Live from Kristenâ€™s Living Room,Ed Sheeran,0.584,0.215,0.0335,-8.765,0.943,0,0.0962,0.362,132.456,166769
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),The Day I Was Born - Live from Danielleâ€™s Living Room,Ed Sheeran,0.674,0.472,0.0421,-4.707,0.777,0,0.217,0.607,77.027,214960
10/2/23,2023,Autumn Variations (Fan Living Room Sessions),Head > Heels - Live from Keiraâ€™s Living Room,Ed Sheeran,0.693,0.139,0.0414,-6.6,0.92,0,0.0928,0.354,80.305,232902
9/29/23,2023,Autumn Variations,Magical,Ed Sheeran,0.658,0.632,0.0298,-8.492,0.748,7.33E-05,0.169,0.464,135.924,194277
9/29/23,2023,Autumn Variations,England,Ed Sheeran,0.622,0.666,0.0423,-10.786,0.641,8.63E-05,0.513,0.52,126.934,226756
9/29/23,2023,Autumn Variations,Amazing,Ed Sheeran,0.809,0.664,0.0373,-7.265,0.429,1.55E-06,0.131,0.374,116.996,245813
9/29/23,2023,Autumn Variations,Plastic Bag,Ed Sheeran,0.713,0.727,0.0528,-6.551,0.621,0,0.0751,0.384,120.016,229850
9/29/23,2023,Autumn Variations,Blue,Ed Sheeran,0.668,0.314,0.0298,-8.275,0.888,0,0.222,0.414,78.019,153899
9/29/23,2023,Autumn Variations,American Town,Ed Sheeran,0.74,0.652,0.0601,-5.668,0.736,0,0.348,0.715,105.025,197976
9/29/23,2023,Autumn Variations,Thatâ€™s On Me,Ed Sheeran,0.822,0.696,0.114,-6.275,0.634,0,0.0624,0.575,106.995,227398
9/29/23,2023,Autumn Variations,Page,Ed Sheeran,0.774,0.604,0.0404,-6.385,0.623,3.48E-06,0.0889,0.62,146.081,231021
9/29/23,2023,Autumn Variations,Midnight,Ed Sheeran,0.555,0.824,0.0591,-5.843,0.425,7.78E-05,0.082,0.685,178.034,179538
9/29/23,2023,Autumn Variations,Spring,Ed Sheeran,0.644,0.317,0.0317,-11.565,0.923,0.00159,0.104,0.667,96.081,178615
9/29/23,2023,Autumn Variations,Punchline,Ed Sheeran,0.534,0.407,0.0261,-7.994,0.844,0,0.113,0.616,154.059,206008
9/29/23,2023,Autumn Variations,When Will I Be Alright,Ed Sheeran,0.614,0.244,0.0301,-9.345,0.935,5.64E-05,0.112,0.488,126.381,175878
9/29/23,2023,Autumn Variations,The Day I Was Born,Ed Sheeran,0.6,0.667,0.0443,-5.504,0.657,0,0.327,0.725,135.083,252318
9/29/23,2023,Autumn Variations,Head > Heels,Ed Sheeran,0.711,0.328,0.0592,-9.172,0.759,0.000538,0.116,0.347,77.539,253881
5/5/23,2023,#NAME?,Boat,Ed Sheeran,0.47,0.203,0.0371,-8.676,0.758,2.41E-06,0.312,0.325,153.578,185675
5/5/23,2023,#NAME?,Salt Water,Ed Sheeran,0.584,0.374,0.0337,-9.224,0.617,2.86E-06,0.0694,0.279,147.084,239770
5/5/23,2023,#NAME?,Eyes Closed,Ed Sheeran,0.793,0.52,0.0696,-7.457,0.246,0,0.0878,0.309,107.014,194848
5/5/23,2023,#NAME?,Life Goes On,Ed Sheeran,0.629,0.312,0.0318,-7.609,0.813,0,0.169,0.456,77.044,210208
5/5/23,2023,#NAME?,Dusty,Ed Sheeran,0.711,0.55,0.0332,-9.682,0.226,0.00928,0.12,0.616,146.928,222957
5/5/23,2023,#NAME?,End Of Youth,Ed Sheeran,0.663,0.436,0.0359,-7.81,0.488,0,0.116,0.316,143.197,231040
5/5/23,2023,#NAME?,Colourblind,Ed Sheeran,0.428,0.296,0.0396,-8.731,0.85,3.63E-06,0.0767,0.156,169.744,209267
5/5/23,2023,#NAME?,Curtains,Ed Sheeran,0.5,0.757,0.0522,-6.542,0.0989,2.50E-06,0.324,0.443,175.944,224803
5/5/23,2023,#NAME?,Borderline,Ed Sheeran,0.51,0.316,0.0289,-10.001,0.941,2.50E-05,0.0936,0.226,139.917,237756
5/5/23,2023,#NAME?,Spark,Ed Sheeran,0.56,0.616,0.032,-7.523,0.776,0.000334,0.0901,0.399,172.031,214846
5/5/23,2023,#NAME?,Vega,Ed Sheeran,0.743,0.405,0.0416,-7.901,0.803,0,0.134,0.353,124.041,178114
5/5/23,2023,#NAME?,Sycamore,Ed Sheeran,0.592,0.32,0.0331,-8.069,0.727,0,0.259,0.35,134.085,170075
5/5/23,2023,#NAME?,No Strings,Ed Sheeran,0.644,0.345,0.0268,-6.433,0.829,0,0.12,0.252,80.957,174087
5/5/23,2023,#NAME?,The Hills of Aberfeldy,Ed Sheeran,0.436,0.19,0.0303,-7.693,0.872,0,0.0971,0.326,79.571,195083
5/5/23,2023,#NAME?,Wildflowers - Bonus Track,Ed Sheeran,0.764,0.233,0.0302,-9.099,0.86,0.00185,0.0939,0.155,131.982,178206
5/5/23,2023,#NAME?,Stoned - Bonus Track,Ed Sheeran,0.695,0.322,0.03,-7.145,0.76,0,0.0895,0.4,119.937,197098
5/5/23,2023,#NAME?,Toughest - Bonus Track,Ed Sheeran,0.623,0.547,0.0342,-7.077,0.562,0,0.129,0.484,133.297,213768
5/5/23,2023,#NAME?,Moving - Bonus Track,Ed Sheeran,0.611,0.394,0.0306,-6.786,0.763,0,0.153,0.728,74.998,215247
5/27/22,2022,#NAME?,Tides,Ed Sheeran,0.631,0.825,0.0433,-3.971,0.0167,0,0.122,0.427,129.942,195760
5/27/22,2022,#NAME?,Shivers,Ed Sheeran,0.788,0.859,0.0856,-2.724,0.281,0,0.0424,0.822,141.02,207853
5/27/22,2022,#NAME?,First Times,Ed Sheeran,0.587,0.267,0.0349,-9.206,0.84,0,0.121,0.352,98.845,185853
5/27/22,2022,#NAME?,Bad Habits,Ed Sheeran,0.807,0.893,0.0347,-3.745,0.0451,2.79E-05,0.366,0.537,126.011,230746
5/27/22,2022,#NAME?,Overpass Graffiti,Ed Sheeran,0.52,0.849,0.186,-3.794,0.00253,0,0.119,0.774,175.908,236906
5/27/22,2022,#NAME?,The Joker And The Queen,Ed Sheeran,0.567,0.211,0.0315,-9.975,0.952,5.24E-05,0.275,0.289,134.019,185586
5/27/22,2022,#NAME?,Leave Your Life,Ed Sheeran,0.578,0.558,0.0872,-5.438,0.236,0,0.143,0.54,75.087,223866
5/27/22,2022,#NAME?,Collide,Ed Sheeran,0.672,0.73,0.0372,-4.77,0.113,0,0.0612,0.559,123.969,210213
5/27/22,2022,#NAME?,2step,Ed Sheeran,0.763,0.661,0.056,-5.592,0.169,0,0.117,0.632,95.002,153626
5/27/22,2022,#NAME?,Stop The Rain,Ed Sheeran,0.686,0.765,0.118,-4.778,0.0122,0,0.127,0.743,99.998,203493
5/27/22,2022,#NAME?,Love In Slow Motion,Ed Sheeran,0.485,0.54,0.0253,-5.4,0.668,0,0.0849,0.426,62.631,190933
5/27/22,2022,#NAME?,Visiting Hours,Ed Sheeran,0.471,0.396,0.0336,-6.654,0.77,0,0.0729,0.263,149.609,215506
5/27/22,2022,#NAME?,Sandman,Ed Sheeran,0.822,0.3,0.0673,-8.034,0.882,9.15E-05,0.0665,0.734,125.951,259333
5/27/22,2022,#NAME?,Be Right Now,Ed Sheeran,0.501,0.684,0.0566,-6.706,0.00494,0.000478,0.0524,0.442,131.952,211080
5/27/22,2022,#NAME?,Afterglow,Ed Sheeran,0.641,0.324,0.0299,-5.851,0.698,0,0.328,0.273,110.184,185486
5/27/22,2022,#NAME?,One Life,Ed Sheeran,0.573,0.593,0.0299,-7.225,0.114,2.65E-06,0.122,0.425,159.978,231546
5/27/22,2022,#NAME?,Penguins,Ed Sheeran,0.709,0.324,0.0444,-10.975,0.79,0,0.1,0.47,99.906,248866
5/27/22,2022,#NAME?,I Will Remember You,Ed Sheeran,0.743,0.807,0.0538,-5.917,0.404,5.49E-06,0.0723,0.721,145.01,214493
5/27/22,2022,#NAME?,Welcome To The World,Ed Sheeran,0.334,0.307,0.033,-8.522,0.818,5.55E-05,0.362,0.426,169.53,176813
5/27/22,2022,#NAME?,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,0.528,0.309,0.0329,-7.398,0.924,2.10E-06,0.282,0.307,133.83,185422
5/27/22,2022,#NAME?,2step (feat. Lil Baby),Ed Sheeran,0.693,0.643,0.0828,-5.867,0.138,0,0.108,0.477,95.055,163449
5/27/22,2022,#NAME?,Bad Habits (feat. Bring Me The Horizon),Ed Sheeran,0.59,0.849,0.0792,-4.691,0.0305,0,0.11,0.178,131.018,250763
5/27/22,2022,#NAME?,Peru,Ed Sheeran,0.956,0.417,0.0926,-7.892,0.572,0.00071,0.0782,0.714,108.015,187111
10/29/21,2021,=,Tides,Ed Sheeran,0.631,0.825,0.0433,-3.971,0.0167,0,0.122,0.427,129.942,195760
10/29/21,2021,=,Shivers,Ed Sheeran,0.788,0.859,0.0856,-2.724,0.281,0,0.0424,0.822,141.02,207853
10/29/21,2021,=,First Times,Ed Sheeran,0.587,0.267,0.0349,-9.206,0.84,0,0.121,0.352,98.845,185853
10/29/21,2021,=,Bad Habits,Ed Sheeran,0.807,0.893,0.0347,-3.745,0.0451,2.79E-05,0.366,0.537,126.011,230746
10/29/21,2021,=,Overpass Graffiti,Ed Sheeran,0.52,0.849,0.186,-3.794,0.00253,0,0.119,0.774,175.908,236906
10/29/21,2021,=,The Joker And The Queen,Ed Sheeran,0.567,0.211,0.0315,-9.975,0.952,5.24E-05,0.275,0.289,134.019,185586
10/29/21,2021,=,Leave Your Life,Ed Sheeran,0.578,0.558,0.0872,-5.438,0.236,0,0.143,0.54,75.087,223866
10/29/21,2021,=,Collide,Ed Sheeran,0.672,0.73,0.0372,-4.77,0.113,0,0.0612,0.559,123.969,210213
